id,pavilion,Latitude,Longitute,area,admission,exhibit_price_1,exhibit_price_2,hours,exhibit 1,exhibit 2,exhibit 3,official_guide_ref,note 1,note 2,note 3,note 4,note 5,note 6,note 7,note 8,note 9,note 10
94,New York City Pavilion and Ice Theater,40.745727,-73.84667,Federal and State,$0.00,$1.05 - $3.35 for Ice Show (all seats are reserved) Mon - Thurs matinees; $1.65 - $3.35 for evening performances,$0.10 for Helicopter Ride,10am - 10pm,"Suprises on Ice: In ""Dick Button's Ice Travaganza,"" 150 skaters, headed by former Olympic stars and comics, perform 10 romantic vignettes. Around the horseshoe-shaped rink are small props onto the skating area and this keeps the show moving at all times.","The Big Town: The incredibly detailed model of the city, which measures 180 by 100 feet, is built to a scale of one inch to 100 feet. At that scale, the Empire State Building is 15 inches tall. The model can be viewed from a balcony where binoculars may be rented or from the simulated helicopter flight. Passengers enter helicopter-like cars at the Narrows. The cars rise just high enough to clear the model. As they fly over the city the lighting changes to evening, while a recording tells of the city's history and operations.",,"176, 190, 302",The host city presents a huge scale model of itself plus a big ice show.,,,,,,,,,
95,New York State,40.74394,-73.8446,Federal and State,$0.00,$0.50 adults;$0.25 children for Observation Tower; $0.25 for Theaterama,,10am - 10pm,,,,"40, 176, 302","The world's biggest suspension roof shelters art and fashion shows; speedy elevators climb the Fair's tallest tower; real, live state legislators greet visitors.",,,,,,,,,
96,Oklahoma,40.748305,-73.847705,Federal and State,$0.00,,,10am - 10pm,Living Map: Animated displays of Oklahoma life are seen on the 96-by-46-foot map.,"Sounds of Music: A covered pathway leads to a bandshell where Oklahoma musical groups, from symphony orchestras to brass bands, perform.",,"176, 188, 189, 302","This ""pavilion"" is a pleasant park, with pools, benches and rolling lawns surrounding a topographical map of the state. Concerts are presented in a Large band shell.",,,,,,,,,
97,Oregon,40.751788,-73.839461,Industrial,$1.00 adults; $0.75 children under 12,,,10am - 10pm,"Mighty Woodsmen: Carnival acts are changed monthly and it is not hard to see why: A 74-yeard-old Finn climbs up a spar by means of two planks: two loggers drop their hats from the top, then beat the hats down, and the other acts are equally rugged.",Totem-Carving Indian: An old art is demonstrated in front of the pavillion by an indian who carves traditional totems using nothing more than a primitive ax.,,"62, 70, 302","In the Flushing River, experts demonstrate logrolling, woodchopping, ax-throwing, jousting and clowning.",,,,,,,,,
98,Paskistan,40.744891,-73.843611,International,$0.00,,,10am - 10pm,"Glories of the Past: Statues and paintings, pottery, jewelry and manuscripts of Islamic calligraphy illuminate periods of Pakistani history.","The Progressive Present: An exhibit displays the art and craftsmanship of the people today: contemporary embroidery, ivory, brass and wood workmanship and current architectural designs. The nation's industrial achievements are portrayed through the display of a variety of finished products. Pakistani models appear in periodic fashion shows and there are exhibitions of paintings by Pakistan artists.","The Promising Future: A grpahic display of economic growth includes models of such public-works projects as the Mangla and Tarbela Dams and the new capital city - rising on 250 square miles of barren land - which is to be completed in 1965. In addition, imposing topographical maps spread over both wall and floor, and dioramas dramatize the nation's bold dreams of life in the future.","38, 39, 157, 302","Pakistani Bazaar: A wide assortment of items, from toys and trinkets to luxurious rugs, is for sale.",,,,,,,,,
99,Pan American Highway Gardens,40.745531,-73.839874,Industrial,$0.00,,,10am - 10pm,,,,"62, 302","Tropical plants and photomurals of the long, rugged highway are displayed here.",,,,,,,,,
100,Parade Ground,40.751206,-73.837387,Industrial,$0.00,,,10am - 10pm,,,,"24, 302","One of four large open areas used for outdoor meetings, assemblies, concerts and other special events.",,,,,,,,,
101,Parker Pen,40.747734,-73.837507,Industrial,$0.00,,,10am - 10pm,"International Pen Friends: Furthering the Fair's theme of Peace through Understanding, and in cooperation with People-to-People Inc., headed by former President Eisenhower, the company supplies any interested visitor with a form on which he may fill in his name, address, age and his interests. A computer matches this information with data on participants abroad, and within seconds supplies the name and address of a foreign pen friend on a special overseas mailer. Parker expects to supply more than a million names during the Fair's two years.","Historic Signatures: Pictures show the signing of historic documents, among them the German and Japanese treaties of surrender ending World War II",,"62, 86, 302",This is a clearing house for international pen pals; names of foreign participants are provided by computer.,,,,,,,,,
102,Pepsi-Cola,40.745415,-73.838362,Industrial,$0.00,$0.95 adults; $0.60 children under 12 for Boat ride,,10am - 10pm,"Girdling the Globe: The boat ride, called ""It's a Small World - A Salute to UNICEF,"" carries spectators past such familiar scenes as France's Eiffel Tower, a Dutch windmill and India's Taj Mahal. The animated figures dance, cavort with droll animals, and in their various languages sing a song called ""It's a Small World,"" composed especially for the exhibit.","Help for Children: In the smaller pavilion, UNICEF greeting cards, books, games and posters are on sale. A garden has photographic displays on the theme of every child's right to security, good health and education. From the tower of the Four Winds dangle colorful shapes which twist and dance in the breeze.",,"62, 96, 302",Walt Disney's exhibit consists of a nine-minute boat ride past settings which represent many foreign lands.,,,,,,,,,
103,Philippines,40.746512,-73.843612,International,$0.00,,,10am - 10pm,"From Myths to History: Twelve large, intricately carved panels, designed by the well-known Philippine artist Carlos V. Francisco, depict the story of the islands, starting with the legendary discovery in a bamboo tree of the first Filipinos and concluding with the growth of the Republic after World War II.","Dancing Students: In a 500-seat openair theater, young Filipinos present program of dances - among them the Tinikling, Itik-itik and Pandango Sa Ilaw.","Progress Mart: On the second floor of the main building is an exhibit showing the advances of Philippine industry and some of the cultural activities found on the islands; in a long shed, various products of the Philippines are exhibited and on sale. They include wood carvings, shells, tobaccos, bamboo chairs, swagger sticks, shirts and lace.","123, 165, 302",Folk dances are performed and 12 elaborately carved panels depict the colorful story of the island.,,,,,,,,,
104,Polynesia,40.747658,-73.842938,International,$1.00 adults; $0.50 children under 12,,,10am - 10pm,"Dancing Islanders: Every hour on the hour performances are given by dancers from American Somoa, Fiji and Tahiti. Dancers range from a strapping chief to small children. Three-foot knives are brandished in one dance; in another the knives are overed with an inflammable substance and set ablaze. There are also lava-lava-clad dancing girls.","Handicrafts: Pearl jewelry and other items are on sale in four thatched-hut shops. Prices range from $1.50 to $3,000 for gem pearls.",,"40, 123, 166, 302",A dance done with flaming knives and a chance to buy a pearl-bearing oyster are featured in South Seas huts.,,,,,,,,,
105,Port Authority Heliport and Exhibit,40.74445,-73.851058,Transportation,$0.00,,,10am - 10pm,"The greatest Port: A 12-minute color movie, presented on a screen 195 feet in circumference, shows the mighty transit projects that enable millions of people to move through the New York area daily. Around the outside of the theater is a scale model of the World Trade Center for lower Manhattan. There is also an operating model fo the recently acquired subway link under the Hudson River, connecting New York and New Jersey.","Aerial Gateway: The heliport provides a landing pad, 150 by 200 feet, for sightseeing flights, and for helicopter transportation to and from Manhattan and Kennedy International, LaGuardia and Newark Airports. ",,"38, 39, 142, 200, 216, 217, 302",Helicopters fly to New York and its airports and offer sightseeing jaunts over the Fair.,,,,,,,,,
106,Post Office,40.752719,-73.83738,Industrial,$0.00,,,10am - 10pm,,,,"24, 62, 302",Designed to be an operating postal service as well as an exhibit. It handles a daily mail volume equal to that of a middle-sized city.,A narrated tour of the Fair's operating post office explains the modern mechanized mall system.,,,,,,,,
107,Protestant and Orthodox Center,40.749743,-73.843349,Industrial,$0.00,$1.00 per hour per child for The Children's Center (for children from three to eight years old),,10am - 10pm,"Court of Christian Pioneers: Standing in an elliptical outdoor court are 34 pylons, each with a plaque giving biographical information on sectarian leaders, among them Martin Luther, St. Andew and John Calvin. Near one end of the ellipse stands an 80-foot tower with a cross.","The Chapel: The contemporary black and white chapel is for meditation and individual prayer. Throughout the Fair seasons, the sponsoring denominations periodically conduct services.","The Theatre: Parable, a 30-minute film in pantomine, with a musical background, uses a stylized circus setting to convey in allegory several basic Christian beliefs. The film is shown in several times daily in a 370-seat theater. Other films and concerts are presented from time to time.","62, 113, 302","The Children's Center: At the rear of the pavilion is a fully equipped, combined indoor and outdoor play area where children may be left under supervision of trained personnel. The toys here include not only the traditional playthings, but also scales that demonstrate balance, and so on.","The Music Garden: Outside the chapel is a garden where recorded music play. Here stands the charred Coventry Cross, made from the roof beams of the cathedral destoyed by bombs in World War II. The cross is loaned by the new Cathedral of Coventry, England.","The work of many church groups is illuminated in film, sound and historic art.",,,,,,,
108,Radio Corporation of America,40.750717,-73.842834,Industrial,$0.00,,,10am - 10pm,The Public on TV: People entering the pavilion can walk by a camera and see themelves in color on monitor sets.,"Programs in the Making: A ramp leads to the second floor which the color television studio can be seen below. There is something taking place at all times: a show being broadcast live, a taping, a rehearsal or a stage being set. Monitors show how the activities in the studio appear on the screen. The ramp also passes directly above the control room, where be a director, aided by technicians, may be watched at work.","Music New and Old: In two small lounges, identical 15-minute sound-slide presentations offer a selection of new stereophonic records and describe the history of music recording.","62, 114, 302",Live color television originates here and is piped to receivers on the fairgrounds; visitors may watch the process.,,,,,,,,,
109,Republic of China,40.747226,-73.843981,International,$0.00,,,10am - 10pm,"Traditions and Crafts: On view in the museum are ancient ritual articles and musical instruments of the Chou Dynasty; models of palaces and pagodas; furniture and clothing dating back to the Ming Dynasty; as well as a number of carvings, stone rubbings and engravings.","Inventions and Skills: Bronze weapons from the Choi Dynasty are shown, together with ancient rockets and firecrackers. There are displays of two major Chinese inventions - the compass and gunpowder - and model soldiers in ancient battle garb are depicted gaurding the Great Wall of China. The exhibits include money dating all the way back to the dawn of civilzation, and a model of the ship and instruments of Chen Ho, the 15th Century Chinese explorer.",,"123, 166, 302","Ancient jades, ceremonial silks, porcelains and bronzes are exhibited in a red and gold palace. ",,,,,,,,,
110,Republic of Korea,40.748909,-73.844446,International,$0.00,,,10am - 10pm,"A Sculptured Welcome: Above the entrance to the area is a contemporary wood sculpture suggesting old Korean caligraphy. Inside the main building, grasscloth, silk and other fabrics from modern Korea hang from the curved walls among paintings, carvings and ornamental screens many centuries old. Handicrafts on sale include dolls in native dress, brass and lacquer ware and embroided silks. Guides also take orders for 800 listed products.","Dancing Drummer Girls: In a harpshaped auditorium, costumed entertainers offer folk dances; in one traditional favorite, girls sing and dance while tapping drums slung from their shoulders. Also in the auditorium, films and slides show life in contemporary Korea.","Tower of Treasures: Standing in between the two buildings is a replica of the Tabo Pagoda, or Tower of Many Treasures. Built in Kyongju, Korea's capital during its Golden Age, the Sixth Century pagoda is considered a masterpiece of Oriental carved stonemasonry.","38, 39, 123, 128, 302","Products of South Korea's rebuilt factories are shown, as are traditional handicrafts and dances.",,,,,,,,,
111,Rheingold,40.748425,-73.836713,Industrial,$0.00,,,10am - 10pm,"Fun on the Street: There is continuous entertainment on the bandstand at the center of the exhibit; from time to time special guests appear, including Miss Rheingold. In addition, a barbershop quartet and other performers entertain along the street and in the tavern and cafe. Park benches on the green provide excellent seats for watching the fireworks at the nearby Pool of Industry.",,,"38, 39, 40, 62, 302",Little Old New York - a gaslit street and part of about 1904 - is charmingly re-created in authentic detail.,,,,,,,,,
112,Russian Orthodox Greek Catholic Church of America,40.746921,-73.836573,Industrial,$0.00,,,10am - 10pm,"Main Exhibit: An icon whose gold covering is encrusted with jewels. It is one of a type modeled after the famous 16th Century icon of Our Lady of Kazan, whose miraculous powers were recognized by the Church. Other religious objects complete the exhibit.",,,"62, 84, 302",A jewel-encrusted gold icon is the principal attraction in a diminutive wooden chapel.,,,,,,,,,
113,"""Santa Maria""",40.738768,-73.842143,Lake Amusement,$1.00 adults; $0.50 children 6 - 12; $0.00 children under 6,,,10am - 10pm,"Life of the Explorer: In buildings around a aourtyard, 12 dioramas trace the life of Columbus from his youth to his return to Barcelona after discovering the New World. ","Castle of the Pier: The entrance to the 180-foot-long pier is a simulated castle gateway, reached by a drawbridge. Within are Old World shops; the sounds of crowds and sea chanteys mingle with the smells of the exotic spices Columbus sought in his travels.","The Ship: Ninety feet long, weighing 110 tons, the vessel was constructed in Barcelona after years of research in museums and naval archives, and brought to the United States on the deck of a freighter. Her sails and flags were woven on 15th Century looms, the iron and armament wrought on 15th Century forges. The crew is represented by 18 life-sized sculptured figures. Columbus in his cabin talks with Captain Pinzon of the Pinta. Some crewmen crowd around the stove; others stand watch in the crow's-nest, or hoist sail.","228, 244, 302","Columbus' famous flagship floats again, in a careful copy, along a wharf lined with Spanish shops.",,,,,,,,,
114,Schaefer Brewing,40.74609,-73.838416,Industrial,$0.00,,,10am - 10pm,,,,"35, 62, 94, 302",A gallery of outstanding sports photographs is combined with a history of the brewing industry in Germany.,The hand and footprints of some 75 celebrities are set in the pavement.,"Outside are a beer garden for 300 and a curved bar, 100 feet long, which the exhibitors claim to be the largest in the world.",,,,,,,
115,Scott Paper,40.747978,-73.837131,Industrial,$0.00,,,10am - 10pm,"The Forest Comes Alive: a tour of the exhibit building where pictorial displays show how trees are grown, cut, and floated to mills; other photographs show how they are barked, chipped, pulped and bleached. On a large rotating cylinder, words and pictures describe the papermaking processes that follow. Another part of the forest is devoted to a series of exhibits concerning the company's projects.",,,"62, 86, 302",The story of paper is told in a magic wood.,,,,,,,,,
116,Sermons from Science,40.745293,-73.841113,International,$0.00,,,10am - 10pm,"Magic on Stage: Dr. George E. Speake and James I. Moon of the Institute of Science, a division of the Moody Bible Institute of Chicago, present wonders of science.","Miracles on Film: There is a series of motion pictures in color prepared by the Institute of Science on nature and scientific topics. These films are widely used by the armed services, scientific organizations and schools.",,"123, 142, 145, 302",A startling stage show and nature films illustrate the compatibility of science and faith.,,,,,,,,,
117,Seven-Up,40.748381,-73.841171,Industrial,$0.00,,,10am - 10pm,,,,"40, 62",Sandwiches of 16 nations are the attraction here.,,,,,,,,,
118,Shea Stadium,40.756093,-73.848479,Flushing Bay,$0.75 - $3.50,,,,,,,"38, 39, 247, 276","Long after the Fair is gone, New York City's new Shea Stadium will remain as the ultimate in modern sports arenas. A five-minute walk from the Fair's maingate, it is the home of the New York Mets and Jets. Between baseball games, it is used by the Fair for large special events. The stadium seats 55,000 for baseball and 60,000 for football, and no columns obstruct the view from any seat. There are some 40 acres of parking space, plenty of snack stands, 57 restrooms and  a 1,000 seat restaurant.",,,,,,,,,
119,Sierra Leone,40.74533,-73.842752,International,$0.10,,,10am - 10pm,"Africa in Dance: The pavilion's feature attraction, visible throughout the building and even from the street outside, is a show which is presented on a raised stage under the main cone. Two troupes perform intricate dances, and acrobats entertain with feats of skill and precision.","From Minerals to Diamonds: The entire center of one cone is devoted to diamonds, a major industry in Sierra Leone. The display shows how diamonds are tranformed from rough stones to cut and finished gems.","Native Artisans:  Near the pavilion's small cocktail bar, a woodcraftman demonstrates how the exotic African masks and statues on display are carved. Close by, a weaver works to make cloth, as well as other items, are on sale at an information counter.","123, 155","Two troupes perform intricate national dances, and acrobats enterntain with feats of skill and daring.",,,,,,,,,
120,Simmons,40.751708,-73.838783,Industrial,$0.00,,,10am - 10pm,"""Land of Enchanment"": In the exhibit area, the animated displays deal with various aspects of sleep: elves digging sand for the Sandman; the sleeping difficulties of William Shakespeare, George Washington, Napoleon and other historic figures. ","And So to Bed: Uniformed attendants escort visitors to their rest alcoves, set a timer outside and rouse them gently if they sleep beyond the half-hour limit. Each alcove is carpeted and furnished with bed, shelf and full-length mirror; a nap robe is provided. For the insomniac, floor-to-ceiling windows offer an excellent view of the fairgrounds.",,"29, 62, 77",Resting alcoves containing beds ay be rented.,Whimsical displays show sleeping habits from rock pillow to modern mattress.,,,,,,,,
121,Sinclair,40.74573,-73.848589,Transportation,$0.00,,,10am - 10pm,"Dinasours in Motion: Nine Fiberglas dinasaurs are displayed, three of them moving figures, each set in the terrain and flora of its own geological period. Visitprs follow a winding path through the garden to meet ostrichlike Struthiomimus, 6 feet long, then the ponderous Trachodon, 38 feet long and 16 feet high. Tyrannosaurus Rex, a meal eater, is shown attacking Triceratops, a plant eater. Nearby is the walking fortress, Ankylosaurus, and farther along the duck-billed Corythosaurus in its natural habitat, a lagoon. On the pavilion roof stands giant Brontosaurus, 27 feet tall adn 68 feet long, its head swinging back and forth as it peers down at traffic on the Grand Central Parkway. On the path beyong the pavilion stands tiny Ornitholestes, and finally, Stegosaurus with a double row of fins and four long spikes on its tail.","The Evolving Earth: Within the building is a 45-foot-long exhibit with erupting volcanoes, flashing lightning and bubbling  streams. This display shows the earth at various stages of its growth: its birth 4.5 billion years ago, the appearance of marine life and formation of oil 600 million years ago, the early dinasaurs 200 million years ago. Large color pictures and smaller dioramas show Sinclair's operations and a view of the company's role in the future.",,"200, 211, 212",Nine life-sized dinasaurs are displayed amid settings that re-create their geological epochs. Dioramas portray the birth of the earth and the first appearance of life.,,,,,,,,,
122,Singer Bowl,40.751073,-73.84527,Industrial,$0.00,,,10am - 10pm,,,,62,Olympic trials are among the features scheduled for this stadium; machines for the home are displayed.,,,,,,,,,
123,S.K.F. Industries,40.745267,-73.848462,Transportation,$0.00,,,10am - 10pm,"Sound and Light: In a 60-seat theater to the right of the main entrance, brilliantly lit stylized images illustrate a six-minute sounds track tracing the history of motion engineering and roller bearings. The continuous show starts with the wheel and ends with rockets.","Matter in Motion: Besides the theater is a display of ojects that use bearings, from a kitchen mixer to a truck axle, cut away to disclose their mechanical interiors. Another display area demonstrates some of the industry's production problems and the ways they are solved.",,,,,,,,,,,,
124,Socony Mobil,40.743197,-73.849455,Transportation,$0.00,,,10am - 10pm,"Test for Good Drivers: Eighteen players, who must be licensed motorists, complete in each game. They ""drive"" from the Pacific to the Atlantic Coast, compensating for the road conditions they see flashed on closed-circuit television screens in front of them. As each driver steers, brakes and accelerates, an electronic device keeps a running total of the amount of gasoline he would be burning if he were driving a real car. At the end of the four-minute ride, the driver with the best miles-per-gallon record of the 18 entrants receives a certificate.","The Lesson Ramps: From wide ramps, spectators can watch the game in progress. Guides offer contestants and observers rules for economical and safe morotoring that are based on the company's ""Think-Ahead Driving Program.""",,"200, 217","This exhibit presents an unusual game. Visitors seated at electronic controls complete in a simulated cross-country auto drive, trying for low gas consumption.",,,,,,,,,
125,Spain,40.748072,-73.842169,International,$0.00,prices vary for Theater,,10am - 12pm,"The Welcoming Figure: A six-foot statue of Isabel la Católica, first Queen of a united Spain and patron of Columbus, stands in front of the pavilion. It was cast in bronzd by sculpture José Luis Sanchez.","The Great Iron Gate: A sliding gate, 27 feet long and 5 feet high, guarding the entrance to the paviliion, provides a dramatic, abstract example by sculptor Amadeo Gabino of Spain's celebrated wrought-iron work.","Historic Hall: Giant, semi-abstract murals by Joaquín Vaquero Turcios, depicting Spanish faith, culture and the evangelization of the Americas, decorate the walls of this room in the pavilion. Documents and objects relating to Columbus' voyages to the New World are on exhibit.","38, 39, 136","The Spain of Legend: Outside Historical Hall hangs la Tizona, the battle sword of Rodrigo Diaz de Vivar, the 11th Century Christian warrior known as El Cid.","A Nation's Art Treasures: Priceless works of art, many never before shown outside of Spain, are on exhibit in three sections of the pavilion. Museum of Masterpieces: Paintings by four immortal artists are on display: El Greco (represented by Hidalgo); Goya (La Condesa de Chinchón, La Maja Vestida, La Maja Desnuda); Velázquez (Pabillo); Zurbarán (Fray Gerónimo Pérez). Gallery of Contemporary Art: Each month a new exhibit of outstanding contemporary Spanish art is held here. Specifically commissioned paintings by Picasso, Miró, Dali, Gris and Solana are on permanent display. Hall of Sacred Art: Modern and traditional religious are and objects show the unbroken course of Spain's Catholic heritage. One wall is a stained-glass window, 45 feet wide by 6 feet high, created by Manuel Molezún.","Spain in Closeup: Upstairs in the pavilion is a detailed look at the nation today. Displays cover a variety of products both handcrafted and manufactured, including women's high fashions, hunting and fishing gear, children's toys and model homes. Seven kiosks behind the pavilion sell delicacies and souvenirs.",,,,,,,
126,Sudan,40.745686,-73.842536,International,$0.00,,,10am - 10pm,"Ancient Handicrafts: The Nuian sculpture, pottery, utensils and weapons are among the oldest things of their kind to be seen at the Fair. They were rescued by archeologists from the waters of Egypt's Aswan Dam, which flooded parts of Sudan.","Modern Handicrafts: Among the handmade wares shown and offered for sale are leopard-skin stoles, alligator shoes and purses, and jewelry in silver and ivory.",,"40, 123, 160",The exhibit features artifacts of the ancient Nubian culture as well as a Seventh Century fresco of the Madonna.,,,,,,,,,
127,Sweden,40.744517,-73.84345,International,$0.00,,,10am - 10pm,"Light and Action: In the industrial section a special ceiling display simulates the appreance of the Northern Lighsts. A number of the exhibits show fascinating mechanical or electronic devices. In a demonstration of high-voltage electricity, voltage builds up within a five-foot plastic sphere, creating an eerie ""corona,"" or halo. A mammoth moveable-pitch ship propeller operates in its own pool. A high-speed machine fills toothpaste tubes. On display for the first time is a large model of Sweden's supersecret new fighter plane, the Viggen, or Thunderbolt. One exhibit traces telephone design since the 1870s.","Well-stocked Store: A small branch of the Nordiska Kompaniet department store in Stockholm displays and sells hundreds of examples of Swedish craftsmanship in crystalware, ceramics, metal, textiles and other fields.",,"38, 39, 123, 148, 150","Intriguing electronic devices are shown, and products are sold in a branch of a Swedish department store. ",,,,,,,,,
128,Swiss Sky Ride,40.744676,-73.84204,International,"$0.75 adults; $0.35 children under 12 on weekdays, $0.50 on Sundays and holidays",,,10am - 10pm,,,,122,This cable-car ride goes 113 feet in the air.,,,,,,,,,
129,Switzerland,40.744688,-73.842806,International,$0.00,,,10am - 10pm,"Time to the Split Second: The ""Time Center,"" near the entrance ot the pavilion, is concentrated display of the controls which regulate the official clocks of the fair. At the front of the exhibit are the dials and indicators of a large ""Master Clock,"" so accurate that it can measure irregularities in the earth's rotation. This clock registers the year, day, hour, minute, second, 10th of a second and 100th of a second; visitors are invited to take pictures in front of the clock as a permanent time record of their visit. Smaller clocks at the Center show the correct time at various places around the world as well as solar, sidereal and other types of time.",Gems of the Watchmaker's Art: Three small buildings house a two-million-dollar display of fine Swiss watch is given.,"Shops and Tours: In a hall connecting the watchmakers' exhibits and the restaurant, chocolates and cheese are for sale, and representatives from various parts of Switzerland give information to prospective tourists.","38, 39, 123, 154, 155","The time of day is top exhibit, with a wall of wondrous timekeepers and a display of modern watches.",,,,,,,,,
130,Texas,40.740186,-73.838932,Lake Amusement,$0.00,$2.00 - $4.80 for The Music Hall,,10am - 2am,Sudden Fun: Surprise is a feature of the entire area. A young man suddenly stands up and breaks into song. A girl walking along a path bullwhips a cigarette from the mouth of a friend. Two arguiing waiters bring their feud to a head in a burst of gunfire.,"""To Broadway with Love:"" This is the title of the 90-minute spectacular in The Music Hall. Presented by producer George Schaefer, who producted Teahouse of the August Moon, and Morton Da Costa, who directed The Music Man, the new show is an anthology packed with the moods and music of the American theater from The Black Crook of 1864 to recent hits.","Bits of Texas: Among the attractions of the specialized pavilion are: high views of black gold, life on the range, life in space and primer for tourists.","24, 40, 236",Daily luncheons are sponsored by Rotary International.,,,,,,,,,
131,Thailand,40.748032,-73.845307,International,$0.00,,,10am - 10pm,"Relics of the Past: Inside the shrine, traditional Thailand is represented by exquisite statuary, displays of classic costumes and models of such things as a wooden Thai house, a cart drawn by water buffalo, and ancient warriors wearing armour and bearing weapons of the past. ","Today's Thailand: The exhibit wing shows aspects of the modern nation. Here are displays of Thai jewelry, silks, spoons with buffalo-horn handles, and samples of minerals, forest products and rice. Travel information is available at a tourist booth.",,"38, 39, 123, 171",Exquisite statuary and classic costumes are on exhibition in a shrine topped by a tiered and gilded roof.,,,,,,,,,
132,Tower of Light,40.747608,-73.839669,Industrial,$0.00,,,10am - 10pm,"Around the Theater: Inside the show chambers, three-dimensional animated figures and special audio-visual effects and songs illustrate the wonders of electric power and light. The scenes include a research laboratory of bubbling test tubes, whirling turbines and sparking coils; a ""beauty parlor"" in which an animated ""Madame Cow"" extols the pleasures of warm electric milkers on icy winter mornings: a house filled with glowing wires that lead to modern electric appliances; a barrage of 4th of July fireworks; a dazzling Christmas sequence.","Tower of Light: In the center of the pavilion, visitors may examine the 12 one-billion-candlepower seachlights - equal to 340,000 automobile headlights - that create the central beam, which points straight up and is visible for miles around. The light beam can be seen from New Haven, Connecticut, to Atlantic City, New Jersey, a radius of about 100 miles.","Electrical Climage Control: Behind a double-glass window in a special chamber near the exit is a frosty, iridescent cave; in the cave figures of a cheerful penguin, a lovesick polar bear and sirenlike mermaid act out the advantages of modern air-conditioning (OG, 102).","62, 102, 165, 303","The world's most powerful searchlight blazes from this building, which also offers a musical show.",,,,,,,,,
133,Transportation and Travel Pavilion,40.744289,-73.847729,Transportation,$0.00,"$0.75 for ""Underwater Sea Hunt,"" ""Moon Dome"" Show and Indian Gold Exhibit; $0.75 for Custom Car Exhibit; $0.25 children under 12",,10am - 10pm,Jet Flight:  In one of several theaters United Air Lines shows a seven-minute film that demonstrates wonders of jet flight at 600 miles per hour.,"The Navy at Work: A film entitled ""Around the World with the Navy"" shows, among other things, an atiomic submarine cruising under Artic ice, jets operating from an aircraft carrier and aerial acrobats performed by the Navy's ""Blue Angels"" precision flying team.","Under the Sea: In a huge tank, skin divers put on an underwater drama. Lloyd Bridges, star of the television show ""Sea Hunt,"" narrates the show in tape, and from time to time appears in person.","20, 38, 39, 214","Data Patterns is an electronic computer that provides ""instant itineraries"" for tours of New York City, the U.S.A. and the World.",Diner's Club has an electronic device that reports the enterainment and prices of 600 Manhattan restaurants and night clubs.,"From Space to the Atom: Inside the Moon Dome, a color motion picture made by Cinerama is projects on a concave screen that encircles the audience. The 18-minute film takes the view from the infinite reaches of outer space into the infinitesimal nucleus of the atom.",,,,,,,
134,Travelers Insurance,40.750002,-73.837486,Industrial,$0.00,,,10am - 10pm,"Birth of the Earth: The approach to the pavilion is through an 80-foot covered walkway, which has along its length a glass-and-plastic mural depicting the origins of our planet. ",Beginning of Life: On the ground level is a three-dimensianal display that traces the evolution of life from one-celled organisms to early land creatures the subaqueous atmosphere in which this journey began.,"The Progress of Man: One and a half million years of human progress are reviewed in a 21-minute tour of the 13 dioramas that cover the second floor. In the earliest periods, tools are invente, fire is discovered and art and religion developed. Early farms and cities indicate the beginning of civilization. The Roman era at its peak, and during its decline under barbarian attack. The darkness of the Middle Ages is epitomized by the perils of the Black Death, which ravaged Europe for centuries. The rise of modern man is shown by Copernicus' thoery that the earthrevolves around the sun and by Columbus' voyage of discovery. Pioneers tame America and the United States faces and surmounts the trials of Civil War. In the final display, man is seen on the verge of yet another triumph, the exploration.","62, 77","""The Triumph of Man"" is presented in dioramas which trace history from the invention of tools.",,,,,,,,,
135,Underground World Home,40.746218,-73.851116,Transportation,$1.00,,,10am - 10pm,,,,200,A complete house is built below the earth's surface: a narrator explains the advantages.,,,,,,,,,
136,United Arab Republic,40.746788,-73.842475,International,$0.00,$0.75 for Museum,,10am - 10pm,"Treasures from Antiquity: A miniature gold coffin that depicts Tutankhamun holding the crook and flail of his office is on display in the museum, along with other artifacts.","A Show of Progress: Motion pictures, maps, models and displays of products provide a panorama od the U.A.R.'s agricultural and industrial achievements. One section of the exhibit floor is devoted to an internationally sponsored program, now in progress, that will raise the ancient temples of Ramses II and Queen Nefertari at Abu Simbel above the anticipated water level of the high dam at Aswan.",,"123, 163",Treasures of ancient Egypt include statues and objects from King Tutankhamun's tomb. ,,,,,,,,,
X,The United Nations,,,,,,,,,,,,,,,,,,,,,
